0	0.50.1	0.5	0.833481	0.772836
0.2	0.452968	0.00118721	0.394568
0.3	0.363005	0.345943	0.341533
0.4	0.238207	0.382473	0.303485
0.5	0.0902617	0.2562	0.206513
0.6	-0.0665263	-0.122318	0.0210292
0.7	-0.216793	-0.21561	-0.162124
0.8	-0.345958	-0.766461	-0.362538
0.9	-0.441858	-0.369156	-0.477832
1	-0.495808	-0.537633	-0.544014
1.1	-0.503088	-0.792838	-0.567792
1.2	-0.463071	-0.421141	-0.516897
1.3	-0.379233	-0.316841	-0.416621
1.4	-0.259077	-0.369038	-0.284486
1.5	-0.113789	-0.184037	-0.12368
1.6	0.0426375	0.54209	0.0768747
1.7	0.194883	0.0184291	0.196928
1.8	0.32813	0.0523647	0.330521
1.9	0.429763	0.565826	0.437946
2	0.490522	0.234133	0.465155
2.1	0.505067	0.370419	0.449198
2.2	0.472145	0.400268	0.392255
2.3	0.394608	0.57797	0.30964
2.4	0.279356	-0.271201	0.16384
2.5	0.137054	-0.890306	-0.0123545
2.6	-0.0186504	0.045792	-0.134815
2.7	-0.172525	0.0376457	-0.234752
2.8	-0.30956	-0.219711	-0.326248
2.9	-0.416709	-0.508955	-0.396381
3	-0.484151	-0.251283	-0.422343
3.1	-0.505933	-0.700895	-0.421956
3.2	-0.480173	-0.406378	-0.373514
3.3	-0.409097	-0.447631	-0.283126
3.4	-0.298999	-0.5463	-0.171464
3.5	-0.160004	-0.709155	-0.0693936
3.6	-0.00537986	-0.279995	0.04017
3.7	0.149772	-0.00184974	0.159122
3.8	0.290286	0.745691	0.297408
3.9	0.402722	0.341761	0.415931
4	0.476709	0.393352	0.46775
4.1	0.505683	0.596945	0.493164
4.2	0.487137	0.744812	0.483354
4.3	0.42267	0.326496	0.409873
4.4	0.317963	0.50582	0.305933
4.5	0.182586	-0.0443901	0.149121
4.6	0.0293976	0.237888	-0.00261416
4.7	-0.126675	-0.574377	-0.185607
4.8	-0.270353	-0.146351	-0.318541
4.9	-0.387832	-0.362116	-0.443582
5	-0.468211	-0.716073	-0.535212
5.1	-0.504319	-0.285655	-0.56908
5.2	-0.493023	-0.635305	-0.578079
5.3	-0.435298	-0.850541	-0.552776
5.4	-0.336206	-0.236537	-0.443354
5.5	-0.20475	-0.285844	-0.29752
5.6	-0.0533476	-0.0678606	-0.12835
5.7	0.103285	0.0402864	0.0435438
5.8	0.249804	0.286244	0.202687
5.9	0.372071	0.452285	0.339227
6	0.458674	0.604106	0.434805
6.1	0.501843	0.269074	0.462499
6.2	0.497821	0.722313	0.472857
6.3	0.446955	0.210085	0.411158
6.4	0.353688	0.249307	0.314212
6.5	0.226444	0.677744	0.218648
6.6	0.0771744	0.130208	0.0863206
6.7	-0.0796582	-0.082306	-0.0668041
6.8	-0.228685	-0.302798	-0.213884
6.9	-0.355472	-0.0355577	-0.316216
7	-0.448118	-1.10354	-0.430235
7.1	-0.498259	-0.084243	-0.455208
7.2	-0.501519	-0.5861	-0.462669
7.3	-0.457617	-0.294228	-0.423568
7.4	-0.370373	-0.764862	-0.377112
7.5	-0.24762	-0.292478	-0.267872
7.6	-0.100823	-0.801814	-0.162068
7.7	0.0558475	0.235812	-0.0130251
7.8	0.207042	-0.0965025	0.119662
7.9	0.338071	-0.13476	0.223767
8	0.436564	0.837165	0.346689
8.1	0.493577	0.909424	0.446959
8.2	0.504112	0.520304	0.469169
8.3	0.467262	0.743443	0.455008
8.4	0.386223	0.54516	0.387272
8.5	0.268231	0.702516	0.294053
8.6	0.12424	0.0800702	0.15362
8.7	-0.0319079	0.175429	0.00224479
8.8	-0.184926	0.22856	-0.129038
8.9	-0.319906	-0.277996	-0.283106
9	-0.424036	-0.438245	-0.395025
9.1	-0.487803	-0.412144	-0.462872
9.2	-0.505593	-0.398442	-0.491083
9.3	-0.475869	-0.391651	-0.461151
9.4	-0.401206	-0.51367	-0.387191
9.5	-0.288231	-0.548053	-0.293823
9.6	-0.147371	0.0299411	-0.139865
9.7	0.00789449	-0.527806	-0.0218674
9.8	0.162385	0.302596	0.144928
9.9	0.301016	-0.0479687	0.257162
10	0.41056	0.483148	0.380129
